time,open,high,low,close,MA,Smoothing Line,MA,Smoothing Line,Volume,Volume MA
884356200,956.05,956.05,921.72,927.69,NaN,NaN,NaN,NaN,746420000,550908000
884615400,927.69,939.25,912.83,939.21,NaN,NaN,NaN,NaN,705450000,554592000
884701800,939.21,952.14,939.21,952.12,NaN,NaN,NaN,NaN,646740000,557965000
884788200,952.12,958.12,948,957.94,NaN,NaN,NaN,NaN,603280000,558271500
884874600,957.94,957.94,950.27,950.73,NaN,NaN,NaN,NaN,569050000,555558000
884961000,951.12,965.12,951.12,961.51,NaN,NaN,NaN,NaN,670080000,558117000
885306600,961.48,978.6,961.48,978.6,NaN,NaN,NaN,NaN,644790000,559413000
885393000,978.6,978.6,963.29,970.78,NaN,NaN,NaN,NaN,626160000,551061000
885479400,970.81,970.81,959.49,963.04,NaN,NaN,NaN,NaN,646570000,556856000
885565800,963.04,966.44,950.86,957.58,NaN,NaN,NaN,NaN,635770000,562891000
885825000,957.59,963.04,954.24,956.95,NaN,NaN,NaN,NaN,555080000,577346000
885911400,956.95,973.23,956.26,969.02,NaN,NaN,NaN,NaN,679140000,603558000
885997800,969.02,978.63,969.02,977.46,NaN,NaN,NaN,NaN,708470000,616823500
886084200,977.46,992.65,975.21,985.49,NaN,NaN,NaN,NaN,750760000,629386500
886170600,985.49,987.41,979.63,980.28,NaN,NaN,NaN,NaN,613380000,636691500
886429800,980.28,1002.48,980.28,1001.27,NaN,NaN,NaN,NaN,724320000,654571000
886516200,1001.27,1006.13,996.9,1006,NaN,NaN,NaN,NaN,692120000,657773500
886602600,1006,1009.52,999.43,1006.9,NaN,NaN,NaN,NaN,695420000,661626500
886689000,1006.9,1013.51,1000.27,1003.54,NaN,NaN,NaN,NaN,703980000,663456000
886775400,1003.54,1013.07,1003.36,1012.45,NaN,NaN,NaN,NaN,569650000,659331500
887034600,1012.46,1015.33,1006.28,1010.74,NaN,NaN,NaN,NaN,524810000,648251000
887121000,1010.74,1022.15,1010.71,1019.01,NaN,NaN,NaN,NaN,642800000,645118500
887207400,1019.01,1020.71,1016.38,1020.01,NaN,NaN,NaN,NaN,599300000,642746500
887293800,1020.01,1026.3,1008.55,1024.14,NaN,NaN,NaN,NaN,611480000,643156500
887380200,1024.14,1024.14,1017.71,1020.09,NaN,NaN,NaN,NaN,531940000,641301000
887725800,1020.09,1028.02,1020.09,1022.76,NaN,NaN,NaN,NaN,605890000,638091500
887812200,1022.76,1032.06,1021.7,1032.06,NaN,NaN,NaN,NaN,606000000,636152000
887898600,1032.08,1032.93,1026.62,1028.28,NaN,NaN,NaN,NaN,581820000,633935000
887985000,1028.28,1034.21,1022.69,1034.21,NaN,NaN,NaN,NaN,594300000,631321500
888244200,1035.78,1038.68,1031.76,1038.14,NaN,NaN,NaN,NaN,550730000,627069500
888330600,1038.14,1038.73,1028.89,1030.56,NaN,NaN,NaN,NaN,589880000,628809500
888417000,1030.56,1045.79,1030.56,1042.9,NaN,NaN,NaN,NaN,611350000,625420000
888503400,1042.9,1048.68,1039.85,1048.67,NaN,NaN,NaN,NaN,646280000,622310500
888589800,1048.67,1051.66,1044.4,1049.34,NaN,NaN,NaN,NaN,574480000,613496500
888849000,1049.68,1053.98,1044.7,1047.7,NaN,NaN,NaN,NaN,591470000,612401000
888935400,1047.7,1052.02,1043.41,1052.02,NaN,NaN,NaN,NaN,612360000,606803000
889021800,1051.22,1051.22,1042.74,1047.33,NaN,NaN,NaN,NaN,644280000,604411000
889108200,1047.33,1047.33,1030.87,1035.04,NaN,NaN,NaN,NaN,648270000,602053500
889194600,1035.05,1055.69,1035.05,1055.69,NaN,NaN,NaN,NaN,665500000,600129500
889453800,1055.69,1058.55,1050.02,1052.31,NaN,NaN,NaN,NaN,624700000,602882000
889540200,1052.3,1064.6,1052.3,1064.25,NaN,NaN,NaN,NaN,631920000,608237500
889626600,1064.22,1069.18,1064.22,1068.47,NaN,NaN,NaN,NaN,655260000,608860500
889713000,1068.47,1071.87,1063.54,1069.92,NaN,NaN,NaN,NaN,594940000,608642500
889799400,1069.93,1075.86,1066.57,1068.59,NaN,NaN,NaN,NaN,597800000,607958500
890058600,1068.64,1079.4,1068.64,1079.27,NaN,NaN,NaN,NaN,548980000,608810500
890145000,1079.27,1080.52,1073.29,1080.45,NaN,NaN,NaN,NaN,680960000,612564000
890231400,1080.45,1085.52,1077.77,1085.52,NaN,NaN,NaN,NaN,632690000,613898500
890317800,1085.52,1089.74,1084.3,1089.74,NaN,NaN,NaN,NaN,598240000,614719500
890404200,1089.74,1101.04,1089.39,1099.16,NaN,NaN,NaN,NaN,717310000,620870000
890663400,1099.16,1101.16,1094.25,1095.55,NaN,NaN,NaN,NaN,631350000,624901000
890749800,1095.55,1106.75,1095.55,1105.65,NaN,NaN,NaN,NaN,605720000,625693000
890836200,1105.66,1113.07,1092.84,1101.92,NaN,NaN,NaN,NaN,676550000,628953000
890922600,1101.83,1106.28,1097,1100.8,NaN,NaN,NaN,NaN,606770000,626977500
891009000,1100.8,1107.18,1091.14,1095.44,NaN,NaN,NaN,NaN,582190000,627363000
891268200,1095.44,1099.16,1090.02,1093.55,NaN,NaN,NaN,NaN,497400000,622659500
891354600,1093.55,1110.13,1093.55,1101.75,NaN,NaN,NaN,NaN,674930000,625788000
891441000,1101.75,1109.19,1095.29,1108.15,NaN,NaN,NaN,NaN,677310000,627439500
891527400,1107.99,1121.01,1107.89,1120.01,NaN,NaN,NaN,NaN,674340000,628743000
891613800,1120.01,1126.36,1118.12,1122.7,NaN,NaN,NaN,NaN,653880000,628162000
891869400,1122.7,1131.99,1121.37,1121.39,NaN,NaN,NaN,NaN,625810000,628217500
891955800,1121.38,1121.38,1102.44,1109.55,NaN,NaN,NaN,NaN,670760000,630159500
892042200,1109.55,1111.6,1098.21,1101.65,NaN,NaN,NaN,NaN,616330000,628213000
892128600,1107.41,1111.45,1101.45,1110.67,NaN,NaN,NaN,NaN,548940000,625913000
892474200,1110.67,1110.75,1100.6,1109.69,NaN,NaN,NaN,NaN,564480000,624247000
892560600,1109.69,1115.95,1109.48,1115.75,NaN,NaN,NaN,NaN,613730000,627484500
892647000,1115.75,1119.9,1112.24,1119.32,NaN,NaN,NaN,NaN,685020000,627687500
892733400,1118.72,1118.72,1105.27,1108.17,NaN,NaN,NaN,NaN,699570000,631031500
892819800,1107.92,1122.72,1104.95,1122.72,NaN,NaN,NaN,NaN,672290000,634734000
893079000,1122.72,1124.88,1118.47,1123.65,NaN,NaN,NaN,NaN,595190000,628628000
893165400,1123.65,1129.65,1119.54,1126.34,NaN,NaN,NaN,NaN,675640000,630842500
893251800,1126.67,1132.98,1126.29,1130,NaN,NaN,NaN,NaN,696740000,635393500
893338200,1130.54,1130.54,1117.49,1119.58,NaN,NaN,NaN,NaN,653190000,634225500
893424600,1119.58,1122.81,1104.77,1107.9,NaN,NaN,NaN,NaN,633890000,635581500
893683800,1107.9,1107.9,1076.7,1086.54,NaN,NaN,NaN,NaN,685960000,640770000
893770200,1086.61,1095.94,1081.49,1085.11,NaN,NaN,NaN,NaN,678600000,649830000
893856600,1085.2,1098.24,1084.65,1094.62,NaN,NaN,NaN,NaN,638790000,648023000
893943000,1094.63,1116.97,1094.63,1111.77,NaN,NaN,NaN,NaN,695600000,648937500
894029400,1111.75,1121.02,1111.75,1121,NaN,NaN,NaN,NaN,581970000,644319000
894288600,1121.07,1130.52,1121.07,1122.07,NaN,NaN,NaN,NaN,551700000,639210000
894375000,1122.07,1122.07,1111.16,1115.65,NaN,NaN,NaN,NaN,583630000,637101000
894461400,1117.39,1118.39,1104.64,1104.92,NaN,NaN,NaN,NaN,606540000,633890000
894547800,1104.99,1105.58,1094.59,1095.14,NaN,NaN,NaN,NaN,582240000,632185500
894634200,1095.14,1111.42,1094.53,1108.14,NaN,NaN,NaN,NaN,567890000,633133000
894893400,1108.14,1119.13,1103.72,1106.64,NaN,NaN,NaN,NaN,560840000,632951000
894979800,1106.64,1115.96,1102.78,1115.79,NaN,NaN,NaN,NaN,604420000,632485500
895066200,1115.79,1122.22,1114.93,1118.86,NaN,NaN,NaN,NaN,600010000,628235000
895152600,1118.86,1124.03,1112.43,1117.37,NaN,NaN,NaN,NaN,578380000,622175500
895239000,1117.37,1118.66,1107.11,1108.73,NaN,NaN,NaN,NaN,621990000,619660500
895498200,1108.73,1112.44,1097.99,1105.82,NaN,NaN,NaN,NaN,519100000,615856000
895584600,1105.82,1113.5,1105.82,1109.52,NaN,NaN,NaN,NaN,566020000,610375000
895671000,1109.68,1119.08,1107.51,1119.06,NaN,NaN,NaN,NaN,587240000,604900000
895757400,1119.06,1124.45,1111.95,1114.64,NaN,NaN,NaN,NaN,551970000,599839000
895843800,1114.64,1116.89,1107.99,1110.47,NaN,NaN,NaN,NaN,444070000,590348000
896189400,1110.52,1116.79,1094.01,1094.02,NaN,NaN,NaN,NaN,541410000,583120500
896275800,1093.78,1094.44,1074.39,1092.23,NaN,NaN,NaN,NaN,682040000,583292500
896362200,1092.23,1099.73,1089.06,1097.59,NaN,NaN,NaN,NaN,588900000,580798000
896448600,1097.6,1104.16,1090.82,1090.82,NaN,NaN,NaN,NaN,556780000,573857000
896707800,1090.82,1097.85,1084.28,1090.98,NaN,NaN,NaN,NaN,537660000,571641500
896794200,1090.98,1098.71,1089.67,1093.03,NaN,NaN,NaN,NaN,590930000,573603000
896880600,1093.24,1097.43,1081.09,1082.73,NaN,NaN,NaN,NaN,584480000,573645500
896967000,1083.31,1095.93,1078.1,1094.83,NaN,NaN,NaN,NaN,577470000,572192000
897053400,1094.83,1113.88,1094.82,1113.86,NaN,NaN,NaN,NaN,558440000,571002000
897312600,1113.87,1119.7,1113.31,1115.72,NaN,NaN,NaN,NaN,543390000,569777000
897399000,1115.72,1119.86,1111.31,1118.41,NaN,NaN,NaN,NaN,563610000,569915500
897485400,1118.41,1126,1110.27,1112.28,NaN,NaN,NaN,NaN,609410000,570165000
897571800,1112.36,1114.2,1094.28,1094.58,NaN,NaN,NaN,NaN,627470000,571538000
897658200,1094.58,1098.84,1080.83,1098.84,NaN,NaN,NaN,NaN,633300000,574284000
897917400,1097.89,1097.89,1077.01,1077.01,NaN,NaN,NaN,NaN,595820000,572975500
898003800,1077.01,1087.59,1074.67,1087.59,NaN,NaN,NaN,NaN,664600000,580250500
898090200,1087.59,1112.87,1087.58,1107.1,NaN,NaN,NaN,NaN,744400000,589169500
898176600,1107.03,1109.36,1103.71,1106.37,NaN,NaN,NaN,NaN,590440000,589329500
898263000,1106.37,1111.25,1097.1,1100.65,NaN,NaN,NaN,NaN,715500000,597506000
898522200,1100.65,1109.01,1099.42,1103.22,NaN,NaN,NaN,NaN,531550000,601880000
898608600,1103.21,1119.49,1103.21,1119.49,NaN,NaN,NaN,NaN,657100000,607664500
898695000,1119.49,1134.4,1115.1,1132.88,NaN,NaN,NaN,NaN,714900000,609307500
898781400,1132.88,1142.04,1127.6,1129.28,NaN,NaN,NaN,NaN,669900000,613357500
898867800,1129.28,1136.83,1129.28,1133.2,NaN,NaN,NaN,NaN,520050000,611521000
899127000,1133.56,1145.15,1133.56,1138.49,NaN,NaN,NaN,NaN,564350000,612855500
899213400,1137.81,1140.8,1131.98,1133.84,NaN,NaN,NaN,NaN,757200000,621169000
899299800,1133.84,1148.56,1133.84,1148.56,NaN,NaN,NaN,NaN,701600000,627025000
899386200,1148.52,1148.52,1142.99,1146.42,NaN,NaN,NaN,NaN,510210000,623662000
899731800,1146.42,1157.32,1145.03,1157.31,NaN,NaN,NaN,NaN,514750000,621477500
899818200,1157.33,1159.81,1152.85,1154.66,NaN,NaN,NaN,NaN,624890000,625552500
899904600,1154.66,1166.89,1154.66,1166.37,NaN,NaN,NaN,NaN,607230000,627733500
899991000,1166.38,1166.38,1156.03,1158.56,NaN,NaN,NaN,NaN,663600000,630443000
900077400,1158.57,1166.93,1150.88,1164.33,NaN,NaN,NaN,NaN,576080000,627873500
900336600,1164.36,1166.98,1160.21,1165.19,NaN,NaN,NaN,NaN,574880000,624952500
900423000,1165.21,1179.76,1165.21,1177.58,NaN,NaN,NaN,NaN,700300000,630176500
900509400,1177.58,1181.48,1174.73,1174.81,NaN,NaN,NaN,NaN,723900000,633141500
900595800,1174.81,1184.02,1170.4,1184.02,NaN,NaN,NaN,NaN,677800000,629811500
900682200,1183.99,1188.1,1182.42,1186.75,NaN,NaN,NaN,NaN,618030000,631191000
900941400,1186.91,1190.58,1179.19,1184.1,NaN,NaN,NaN,NaN,560580000,623445000
901027800,1184.1,1187.37,1163.05,1165.07,NaN,NaN,NaN,NaN,659700000,629852500
901114200,1165.07,1167.67,1155.2,1164.08,NaN,NaN,NaN,NaN,739800000,633987500
901200600,1164.08,1164.35,1139.75,1139.75,NaN,NaN,NaN,NaN,741600000,635322500
901287000,1139.75,1150.14,1129.11,1140.8,NaN,NaN,NaN,NaN,698600000,636757500
901546200,1140.8,1147.27,1128.19,1147.27,NaN,NaN,NaN,NaN,619990000,641754500
901632600,1147.27,1147.27,1119.44,1130.24,NaN,NaN,NaN,NaN,703600000,648717000
901719000,1130.24,1138.56,1121.98,1125.21,NaN,NaN,NaN,NaN,644350000,643074500
901805400,1125.21,1143.07,1125.21,1142.86,NaN,NaN,NaN,NaN,687400000,642364500
901891800,1142.97,1142.97,1114.3,1120.67,NaN,NaN,NaN,NaN,645910000,649149500
902151000,1120.67,1121.79,1110.39,1112.44,NaN,NaN,NaN,NaN,620400000,654432000
902237400,1112.44,1119.73,1071.82,1072.12,NaN,NaN,NaN,NaN,852600000,665817500
902323800,1072.12,1084.8,1057.35,1081.43,NaN,NaN,NaN,NaN,851600000,678036000
902410200,1081.43,1090.95,1074.94,1089.63,NaN,NaN,NaN,NaN,768400000,683276000
902496600,1089.63,1102.54,1084.72,1089.45,NaN,NaN,NaN,NaN,759100000,692427000
902755800,1089.45,1092.82,1081.76,1083.14,NaN,NaN,NaN,NaN,579180000,692642000
902842200,1083.14,1083.14,1054,1068.98,NaN,NaN,NaN,NaN,774400000,696347000
902928600,1068.98,1084.7,1068.98,1084.22,NaN,NaN,NaN,NaN,711700000,695737000
903015000,1084.22,1091.5,1074.91,1074.91,NaN,NaN,NaN,NaN,660700000,694882000
903101400,1075.06,1083.92,1057.22,1062.75,NaN,NaN,NaN,NaN,644030000,696182000
903360600,1062.75,1083.67,1055.17,1083.67,NaN,NaN,NaN,NaN,584380000,697372000
903447000,1083.67,1101.72,1083.67,1101.2,NaN,NaN,NaN,NaN,690600000,698917000
903533400,1101.2,1106.32,1094.93,1098.06,NaN,NaN,NaN,NaN,633630000,693608500
903619800,1098.06,1098.79,1089.55,1091.6,NaN,NaN,NaN,NaN,621630000,687610000
903706200,1091.6,1091.6,1054.92,1081.18,NaN,NaN,NaN,NaN,725700000,688965000
903965400,1081.36,1093.82,1081.28,1088.14,NaN,NaN,NaN,NaN,558100000,685870500
904051800,1088.14,1106.64,1085.53,1092.86,NaN,NaN,NaN,NaN,664900000,683935500
904138200,1092.82,1092.82,1075.91,1084.19,NaN,NaN,NaN,NaN,674100000,685423000
904224600,1084.19,1084.19,1037.61,1042.59,NaN,NaN,NaN,NaN,938600000,697983000
904311000,1042.59,1051.8,1021.04,1027.25,NaN,NaN,NaN,NaN,840300000,707702500
904570200,1027.14,1033.47,957.42,957.53,NaN,NaN,NaN,NaN,917500000,722557500
904656600,957.3,1000.71,939.98,994.24,NaN,NaN,NaN,NaN,1216600000,740757500
904743000,994.36,1013.19,988.4,990.48,NaN,NaN,NaN,NaN,894600000,742907500
904829400,990.47,990.47,969.32,982.26,NaN,NaN,NaN,NaN,880500000,748512500
904915800,982.26,991.41,956.51,973.89,NaN,NaN,NaN,NaN,780300000,749572500
905261400,973.98,1023.46,973.98,1023.46,NaN,NaN,NaN,NaN,814800000,761353500
905347800,1023.46,1025.74,1004.56,1006.2,NaN,NaN,NaN,NaN,704300000,757848500
905434200,1006.2,1006.2,968.64,980.19,NaN,NaN,NaN,NaN,880300000,766278500
905520600,980.19,1009.06,969.71,1009.06,NaN,NaN,NaN,NaN,819100000,774198500
905779800,1009.08,1038.38,1009.08,1029.72,NaN,NaN,NaN,NaN,714400000,777717000
905866200,1029.72,1037.9,1021.42,1037.68,NaN,NaN,NaN,NaN,724600000,784728000
905952600,1037.79,1046.07,1029.31,1045.48,NaN,NaN,NaN,NaN,797500000,790073000
906039000,1045.48,1045.48,1016.05,1018.87,NaN,NaN,NaN,NaN,694500000,793116500
906125400,1018.87,1021.96,1011.86,1020.09,NaN,NaN,NaN,NaN,794700000,801770000
906384600,1020.09,1026.02,993.82,1023.89,NaN,NaN,NaN,NaN,609880000,795979000
906471000,1023.89,1033.89,1021.96,1029.8,NaN,NaN,NaN,NaN,694900000,802819000
906557400,1029.63,1066.09,1029.63,1066.09,NaN,NaN,NaN,NaN,899700000,814559000
906643800,1066.11,1066.11,1033.04,1042.72,NaN,NaN,NaN,NaN,805900000,821149000
906730200,1042.72,1051.89,1028.49,1044.75,NaN,NaN,NaN,NaN,736800000,811059000
906989400,1045.39,1061.46,1042.26,1048.69,NaN,NaN,NaN,NaN,690500000,803569000
907075800,1048.69,1056.31,1039.95,1049.02,NaN,NaN,NaN,NaN,760100000,795699000
907162200,1049.02,1049.02,1015.73,1017.05,NaN,NaN,NaN,NaN,800100000,774874000
907248600,1017.01,1017.01,981.29,986.39,NaN,NaN,NaN,NaN,899700000,775129000
907335000,986.39,1005.45,971.69,1002.6,NaN,NaN,NaN,NaN,902900000,776249000
907594200,1002.6,1002.6,964.72,988.56,NaN,NaN,NaN,NaN,817500000,778109000
907680600,988.56,1008.77,974.81,984.59,NaN,NaN,NaN,NaN,845700000,779654000
907767000,984.49,995.66,957.23,970.68,NaN,NaN,NaN,NaN,977000000,793289000
907853400,970.08,970.08,923.32,959.44,NaN,NaN,NaN,NaN,1114600000,805004000
907939800,959.49,984.42,953.04,984.32,NaN,NaN,NaN,NaN,878100000,807954000
908199000,985.28,1010.71,985.28,997.71,NaN,NaN,NaN,NaN,691100000,806789000
908285400,997.71,1000.78,987.55,994.8,NaN,NaN,NaN,NaN,733300000,807224000
908371800,994.76,1014.42,987.8,1005.53,NaN,NaN,NaN,NaN,791200000,806909000
908458200,1005.53,1053.15,1000.12,1047.49,NaN,NaN,NaN,NaN,937600000,819064000
908544600,1047.49,1062.65,1047.49,1056.42,NaN,NaN,NaN,NaN,1042200000,831439000
908803800,1056.29,1065.21,1054.23,1062.39,NaN,NaN,NaN,NaN,738600000,837875000
908890200,1062.42,1084.06,1060.61,1063.93,NaN,NaN,NaN,NaN,958200000,851040000
908976600,1063.93,1073.61,1058.08,1069.92,NaN,NaN,NaN,NaN,745100000,843310000
909063000,1069.92,1080.43,1061.47,1078.48,NaN,NaN,NaN,NaN,754900000,840760000
909149400,1078.48,1078.48,1067.43,1070.67,NaN,NaN,NaN,NaN,637640000,835802000
909412200,1070.67,1081.23,1068.01,1072.32,NaN,NaN,NaN,NaN,609910000,831772500
909498600,1072.32,1086.06,1063.06,1065.34,NaN,NaN,NaN,NaN,764500000,831992500
909585000,1065.25,1072.79,1059.65,1068.09,NaN,NaN,NaN,NaN,677500000,825862500
909671400,1068.09,1086.11,1065.11,1085.93,NaN,NaN,NaN,NaN,699400000,815847500
909757800,1085.93,1103.76,1085.93,1098.67,NaN,NaN,NaN,NaN,785000000,809952500
910017000,1098.82,1114.44,1098.82,1111.6,NaN,NaN,NaN,NaN,753800000,806767500
910103400,1111.47,1115.02,1106.42,1110.84,NaN,NaN,NaN,NaN,704300000,799697500
910189800,1110.84,1127.18,1110.59,1118.67,NaN,NaN,NaN,NaN,861100000,793902500
910276200,1118.32,1133.88,1109.55,1133.68,NaN,NaN,NaN,NaN,770200000,776682500
910362600,1133.68,1141.3,1131.18,1141.01,NaN,NaN,NaN,NaN,683100000,766932500
910621800,1141.01,1141.01,1123.17,1130.2,NaN,NaN,NaN,NaN,592990000,762027000
910708200,1130.2,1135.37,1122.8,1128.26,NaN,NaN,NaN,NaN,671300000,758927000
910794600,1128.26,1136.25,1117.4,1120.97,NaN,NaN,NaN,NaN,715700000,755152000
910881000,1120.97,1126.57,1115.55,1118.17,NaN,NaN,NaN,NaN,662300000,741387000
910967400,1117.69,1126.34,1116.76,1125.72,NaN,NaN,NaN,NaN,602270000,719390500
911226600,1125.85,1138.72,1125.85,1135.86,NaN,NaN,NaN,NaN,615580000,713239500
911313000,1135.87,1151.71,1129.67,1139.32,NaN,NaN,NaN,NaN,705200000,700589500
911399400,1139.32,1144.52,1133.07,1144.48,NaN,NaN,NaN,NaN,652510000,695960000
911485800,1144.48,1155.1,1144.42,1152.61,NaN,NaN,NaN,NaN,671000000,691765000
911572200,1152.61,1163.55,1152.61,1163.55,NaN,NaN,NaN,NaN,721200000,695943000
911831400,1163.55,1188.21,1163.55,1188.21,NaN,NaN,NaN,NaN,774100000,704152500
911917800,1188.21,1191.3,1181.81,1182.99,NaN,NaN,NaN,NaN,766200000,704237500
912004200,1183.42,1187.16,1179.37,1186.87,NaN,NaN,NaN,NaN,583580000,699541500
